Sample_Identity	Alignment_File	VCF_Original	VCF_Merged	VCF_Norm	VCF_Snps	VCF_ChrFixed	VCF_Annotated	VCF_Candidates_Strict	VCF_Candidates_NonStrict	Snzl_NoGaps_NBases	Snzl_NoGaps_NSnps	Snzl_WithGaps_NBases	Snzl_WithGaps_NSnps	Json	Sample_Short
TL2209397-ENUref-Female	../data/Alignment_File/TL2209397-ENUref-Female.bam	../data/VCF_Original/TL2209397-ENUref-Female.vcf.gz													TL2209397-ENUref-Female
TL2209398-ENUref-Male	../data/Alignment_File/TL2209398-ENUref-Male.bam	../data/VCF_Original/TL2209398-ENUref-Male.vcf.gz													TL2209398-ENUref-Male
TL2209399-TUref-Female	../data/Alignment_File/TL2209399-TUref-Female.bam	../data/VCF_Original/TL2209399-TUref-Female.vcf.gz													TL2209399-TUref-Female
TL2209400-TUref-Male	../data/Alignment_File/TL2209400-TUref-Male.bam	../data/VCF_Original/TL2209400-TUref-Male.vcf.gz													TL2209400-TUref-Male
TL2211776-1-5	../data/Alignment_File/TL2211776-1-5.bam	../data/VCF_Original/TL2211776-1-5.vcf.gz													TL2211776-1-5
TL2211777-9-4	../data/Alignment_File/TL2211777-9-4.bam	../data/VCF_Original/TL2211777-9-4.vcf.gz													TL2211777-9-4
TL2211778-11-1	../data/Alignment_File/TL2211778-11-1.bam	../data/VCF_Original/TL2211778-11-1.vcf.gz													TL2211778-11-1
TL2211779-12-2	../data/Alignment_File/TL2211779-12-2.bam	../data/VCF_Original/TL2211779-12-2.vcf.gz													TL2211779-12-2
TL2211780-15-1	../data/Alignment_File/TL2211780-15-1.bam	../data/VCF_Original/TL2211780-15-1.vcf.gz													TL2211780-15-1
TL2211781-15-3	../data/Alignment_File/TL2211781-15-3.bam	../data/VCF_Original/TL2211781-15-3.vcf.gz													TL2211781-15-3
TL2211785-19-1	../data/Alignment_File/TL2211785-19-1.bam	../data/VCF_Original/TL2211785-19-1.vcf.gz													TL2211785-19-1
TL2211786-19-4	../data/Alignment_File/TL2211786-19-4.bam	../data/VCF_Original/TL2211786-19-4.vcf.gz													TL2211786-19-4
TL2211787-20-2	../data/Alignment_File/TL2211787-20-2.bam	../data/VCF_Original/TL2211787-20-2.vcf.gz													TL2211787-20-2
TL2211790-24-A	../data/Alignment_File/TL2211790-24-A.bam	../data/VCF_Original/TL2211790-24-A.vcf.gz													TL2211790-24-A
TL2211791-24-6	../data/Alignment_File/TL2211791-24-6.bam	../data/VCF_Original/TL2211791-24-6.vcf.gz													TL2211791-24-6
TL2211793-42-1	../data/Alignment_File/TL2211793-42-1.bam	../data/VCF_Original/TL2211793-42-1.vcf.gz													TL2211793-42-1
TL2211794-53-2	../data/Alignment_File/TL2211794-53-2.bam	../data/VCF_Original/TL2211794-53-2.vcf.gz													TL2211794-53-2
TL2211795-74-3	../data/Alignment_File/TL2211795-74-3.bam	../data/VCF_Original/TL2211795-74-3.vcf.gz													TL2211795-74-3
TL2211796-75-4	../data/Alignment_File/TL2211796-75-4.bam	../data/VCF_Original/TL2211796-75-4.vcf.gz													TL2211796-75-4
TL2211797-85-1	../data/Alignment_File/TL2211797-85-1.bam	../data/VCF_Original/TL2211797-85-1.vcf.gz													TL2211797-85-1
TL2211798-95-2	../data/Alignment_File/TL2211798-95-2.bam	../data/VCF_Original/TL2211798-95-2.vcf.gz													TL2211798-95-2
TL2211801-153-5	../data/Alignment_File/TL2211801-153-5.bam	../data/VCF_Original/TL2211801-153-5.vcf.gz													TL2211801-153-5
TL2211802-175-1	../data/Alignment_File/TL2211802-175-1.bam	../data/VCF_Original/TL2211802-175-1.vcf.gz													TL2211802-175-1
TL2211803-NTC-3	../data/Alignment_File/TL2211803-NTC-3.bam	../data/VCF_Original/TL2211803-NTC-3.vcf.gz													TL2211803-NTC-3
TL2212475-15-5a	../data/Alignment_File/TL2212475-15-5a.bam	../data/VCF_Original/TL2212475-15-5a.vcf.gz													TL2212475-15-5a
TL2212476-15-5b	../data/Alignment_File/TL2212476-15-5b.bam	../data/VCF_Original/TL2212476-15-5b.vcf.gz													TL2212476-15-5b
TL2212477-18-2	../data/Alignment_File/TL2212477-18-2.bam	../data/VCF_Original/TL2212477-18-2.vcf.gz													TL2212477-18-2
TL2212478-22-1	../data/Alignment_File/TL2212478-22-1.bam	../data/VCF_Original/TL2212478-22-1.vcf.gz													TL2212478-22-1
TL2212479-22-2	../data/Alignment_File/TL2212479-22-2.bam	../data/VCF_Original/TL2212479-22-2.vcf.gz													TL2212479-22-2
TL2212480-32-1	../data/Alignment_File/TL2212480-32-1.bam	../data/VCF_Original/TL2212480-32-1.vcf.gz													TL2212480-32-1
TL2212481-137-1	../data/Alignment_File/TL2212481-137-1.bam	../data/VCF_Original/TL2212481-137-1.vcf.gz													TL2212481-137-1
TL2212482-147-4	../data/Alignment_File/TL2212482-147-4.bam	../data/VCF_Original/TL2212482-147-4.vcf.gz													TL2212482-147-4
TL2212483-NTC-MAN	../data/Alignment_File/TL2212483-NTC-MAN.bam	../data/VCF_Original/TL2212483-NTC-MAN.vcf.gz													TL2212483-NTC-MAN
TL2312061-15-1	../data/Alignment_File/TL2312061-15-1.bam	../data/VCF_Original/TL2312061-15-1.vcf.gz													TL2312061-15-1
TL2312062-15-3	../data/Alignment_File/TL2312062-15-3.bam	../data/VCF_Original/TL2312062-15-3.vcf.gz													TL2312062-15-3
TL2312063-018-2	../data/Alignment_File/TL2312063-018-2.bam	../data/VCF_Original/TL2312063-018-2.vcf.gz													TL2312063-018-2
TL2312065-024-6	../data/Alignment_File/TL2312065-024-6.bam	../data/VCF_Original/TL2312065-024-6.vcf.gz													TL2312065-024-6
TL2312066-38-A	../data/Alignment_File/TL2312066-38-A.bam	../data/VCF_Original/TL2312066-38-A.vcf.gz													TL2312066-38-A
TL2312067-49-2	../data/Alignment_File/TL2312067-49-2.bam	../data/VCF_Original/TL2312067-49-2.vcf.gz													TL2312067-49-2
TL2312068-49-2	../data/Alignment_File/TL2312068-49-2.bam	../data/VCF_Original/TL2312068-49-2.vcf.gz													TL2312068-49-2
TL2312069-53-2	../data/Alignment_File/TL2312069-53-2.bam	../data/VCF_Original/TL2312069-53-2.vcf.gz													TL2312069-53-2
TL2312070-74-3	../data/Alignment_File/TL2312070-74-3.bam	../data/VCF_Original/TL2312070-74-3.vcf.gz													TL2312070-74-3
TL2312071-122-3	../data/Alignment_File/TL2312071-122-3.bam	../data/VCF_Original/TL2312071-122-3.vcf.gz													TL2312071-122-3
TL2312072-161-2	../data/Alignment_File/TL2312072-161-2.bam	../data/VCF_Original/TL2312072-161-2.vcf.gz													TL2312072-161-2
TL2312073-163-4L	../data/Alignment_File/TL2312073-163-4L.bam	../data/VCF_Original/TL2312073-163-4L.vcf.gz													TL2312073-163-4L
TL2312074-175-1	../data/Alignment_File/TL2312074-175-1.bam	../data/VCF_Original/TL2312074-175-1.vcf.gz													TL2312074-175-1
TL2312075-245-2A	../data/Alignment_File/TL2312075-245-2A.bam	../data/VCF_Original/TL2312075-245-2A.vcf.gz													TL2312075-245-2A
TL2312076-373-I	../data/Alignment_File/TL2312076-373-I.bam	../data/VCF_Original/TL2312076-373-I.vcf.gz													TL2312076-373-I
